eventName,object_category
RunInstances,instance
StartInstances,instance
StopInstances,instance
TerminateInstances,instance
RebootInstances,instance
CreateSecurityGroup,security_group
DeleteSecurityGroup,security_group
AuthorizeSecurityGroupIngress,security_group
AuthorizeSecurityGroupEgress,security_group
RevokeSecurityGroupIngress,security_group
RevokeSecurityGroupEgress,security_group
CreateBucket,bucket
DeleteBucket,bucket
PutBucketPublicAccessBlock,bucket
PutObject,bucket
CreateVolume,volume
DeleteVolume,volume
AttachVolume,volume
DetachVolume,volume
CreateUser,user
DeleteUser,user
UpdateUser,user
CreateNetworkInterface,network_interface
DeleteNetworkInterface,network_interface
CreateNetworkAcl,ACL
CreateNetworkAclEntry,ACL
DeleteNetworkAcl,ACL
DeleteNetworkAclEntry,ACL
ReplaceNetworkAclEntry,ACL
ReplaceNetworkAclAssociation,ACL
PutBucketAcl,bucket
CreateChangeSet,stack
CreateDeliveryStream,delivery_stream
CreateKeyspace,keyspace
CreateLoadBalancerListeners,load_balancer
CreateLoadBalancerPolicy,load_balancer
CreateQueue,message_queue
CreateTable,table
CreateFunction20150331,function
CreateLogGroup,log_group
CreateLogStream,log_stream
GetBucketEncryption,bucket
CreateLoginProfile,user
ListSigningCertificates,user
CreateAccessKey,user
CreateAccessKey,user
ListAccessKeys,user
CreateVirtualMFADevice,user
GetUser,user
GetAccountSummary,user
ListAccountAliases,user
ListAliases,alias
ListRoles,user
